COMMAND     PID        USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
rapportd   1014 rohansharma   10u  IPv4 0x4fc00b5510f39573      0t0  TCP *:52145 (LISTEN)
rapportd   1014 rohansharma   11u  IPv6 0xadc62cc2c68ec8f6      0t0  TCP *:52145 (LISTEN)
rapportd   1014 rohansharma   18u  IPv6  0xc1ada14292940db      0t0  TCP *:54137 (LISTEN)
rapportd   1014 rohansharma   20u  IPv6 0x30ee152041adfb73      0t0  TCP *:54138 (LISTEN)
ARDAgent   1080 rohansharma    9u  IPv6 0x6d22ab5cdabdd194      0t0  TCP *:3283 (LISTEN)
OneDrive   1504 rohansharma   34u  IPv6 0x903a2079a8a7a23d      0t0  TCP [::1]:42050 (LISTEN)
limactl   28582 rohansharma    9u  IPv4  0xed6c202a5a1fd54      0t0  TCP 127.0.0.1:52297 (LISTEN)
limactl   28582 rohansharma   20u  IPv4 0x4144318b5518e615      0t0  TCP 127.0.0.1:52296 (LISTEN)
limactl   28582 rohansharma   24u  IPv4 0x2cde083a8c8d18df      0t0  TCP 127.0.0.1:5355 (LISTEN)
limactl   28582 rohansharma   29u  IPv4 0xaf88be85edaada5f      0t0  TCP 127.0.0.1:4001 (LISTEN)
limactl   28582 rohansharma   33u  IPv4 0xfec50713cff801fa      0t0  TCP 127.0.0.1:9013 (LISTEN)
limactl   28582 rohansharma   34u  IPv4 0xc7c437fa9444f683      0t0  TCP 127.0.0.1:9012 (LISTEN)
limactl   28582 rohansharma   35u  IPv4 0x9d1750a7b4b1c270      0t0  TCP 127.0.0.1:9015 (LISTEN)
limactl   28582 rohansharma   36u  IPv4 0xb1ece0a36fa7bbc5      0t0  TCP 127.0.0.1:9014 (LISTEN)
limactl   28582 rohansharma   37u  IPv4 0x7d6aeac6a0afa875      0t0  TCP 127.0.0.1:9009 (LISTEN)
limactl   28582 rohansharma   38u  IPv4 0x36a167a75d02f154      0t0  TCP 127.0.0.1:9008 (LISTEN)
limactl   28582 rohansharma   39u  IPv4 0x406cd8350afa14c9      0t0  TCP 127.0.0.1:9011 (LISTEN)
limactl   28582 rohansharma   40u  IPv4 0xc9c589624cc392c7      0t0  TCP 127.0.0.1:9010 (LISTEN)
limactl   28582 rohansharma   41u  IPv4 0x64dfbd9a638830c4      0t0  TCP 127.0.0.1:9017 (LISTEN)
limactl   28582 rohansharma   42u  IPv4  0x1f94357ee26874c      0t0  TCP 127.0.0.1:9016 (LISTEN)
limactl   28582 rohansharma   43u  IPv4 0x7571c2286d138ac6      0t0  TCP 127.0.0.1:9018 (LISTEN)
limactl   28582 rohansharma   44u  IPv4 0xdb4b5e5e2ce561dd      0t0  TCP 127.0.0.1:9005 (LISTEN)
limactl   28582 rohansharma   45u  IPv4 0xff4bce0dbb05dd4d      0t0  TCP 127.0.0.1:9004 (LISTEN)
limactl   28582 rohansharma   46u  IPv4 0xae6a3ee7d10bc1bc      0t0  TCP 127.0.0.1:9007 (LISTEN)
limactl   28582 rohansharma   47u  IPv4 0xcaccc1736ebf296a      0t0  TCP 127.0.0.1:9006 (LISTEN)
limactl   28582 rohansharma   48u  IPv4 0x7651a3d0a9a4f519      0t0  TCP 127.0.0.1:9001 (LISTEN)
limactl   28582 rohansharma   49u  IPv4 0x636b3d04beac799d      0t0  TCP 127.0.0.1:9000 (LISTEN)
limactl   28582 rohansharma   50u  IPv4 0x84ad8eb651c4dc22      0t0  TCP 127.0.0.1:9003 (LISTEN)
limactl   28582 rohansharma   51u  IPv4 0x5b4e8bc350ed4581      0t0  TCP 127.0.0.1:9002 (LISTEN)
limactl   28582 rohansharma   52u  IPv4 0x1c746353cb43686c      0t0  TCP 127.0.0.1:9021 (LISTEN)
limactl   28582 rohansharma   53u  IPv4 0x6c2e289e58dda7e2      0t0  TCP 127.0.0.1:9020 (LISTEN)
limactl   28582 rohansharma   54u  IPv4 0xb7d234e8108a75bc      0t0  TCP 127.0.0.1:9023 (LISTEN)
limactl   28582 rohansharma   55u  IPv4 0x28e6a4eeb832e05d      0t0  TCP 127.0.0.1:9022 (LISTEN)
limactl   28582 rohansharma   56u  IPv4 0xcba5de504f2327f4      0t0  TCP 127.0.0.1:9019 (LISTEN)
limactl   28582 rohansharma   57u  IPv4  0x44395c49c7ef99d      0t0  TCP 127.0.0.1:9045 (LISTEN)
limactl   28582 rohansharma   58u  IPv4  0xbee3c8fbef98672      0t0  TCP 127.0.0.1:9044 (LISTEN)
limactl   28582 rohansharma   59u  IPv4 0xcf6f8a62624adef1      0t0  TCP 127.0.0.1:9047 (LISTEN)
limactl   28582 rohansharma   60u  IPv4 0x387bcf0fbb4bac72      0t0  TCP 127.0.0.1:9046 (LISTEN)
limactl   28582 rohansharma   61u  IPv4 0xb9c22895e0eccc46      0t0  TCP 127.0.0.1:9041 (LISTEN)
limactl   28582 rohansharma   62u  IPv4 0xc827cbb3854cfebf      0t0  TCP 127.0.0.1:9040 (LISTEN)
limactl   28582 rohansharma   63u  IPv4 0xc3b3a3e8e353490a      0t0  TCP 127.0.0.1:9043 (LISTEN)
limactl   28582 rohansharma   64u  IPv4 0xd11f011d3a38a806      0t0  TCP 127.0.0.1:9042 (LISTEN)
limactl   28582 rohansharma   65u  IPv4 0x2d666ae58fe48db8      0t0  TCP 127.0.0.1:9049 (LISTEN)
limactl   28582 rohansharma   66u  IPv4 0x606df257ed521e05      0t0  TCP 127.0.0.1:9048 (LISTEN)
limactl   28582 rohansharma   67u  IPv4 0x8ca3d845bd3e5fd8      0t0  TCP 127.0.0.1:9029 (LISTEN)
limactl   28582 rohansharma   68u  IPv4 0x60d8be81e0f205ac      0t0  TCP 127.0.0.1:9028 (LISTEN)
limactl   28582 rohansharma   69u  IPv4 0xbe75b195ebabdb12      0t0  TCP 127.0.0.1:9031 (LISTEN)
limactl   28582 rohansharma   70u  IPv4 0x7f48397943d6a1cc      0t0  TCP 127.0.0.1:9030 (LISTEN)
limactl   28582 rohansharma   71u  IPv4 0x42f76271646d6c4a      0t0  TCP 127.0.0.1:9025 (LISTEN)
